['127.0.0.1:12000', '2019-11-12 15:40:37', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-12 15:40:45', 'GET_MESSAGES', 'Error']
['127.0.0.1:12000', '2019-11-12 15:40:48', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-12 15:40:54', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-12 15:40:59', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-12 15:41:35', 'POST', 'OK']
['127.0.0.1:12000', '2019-11-12 15:42:47', 'QUIT', 'OK']
['127.0.0.1:12000', '2019-11-12 18:18:09', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-12 18:22:46', 'UNRECOGNISED', 'Error']
['127.0.0.1:8888', '2019-11-23 14:00:16', 'GET_BOARDS', 'OK']
['127.0.0.1:8888', '2019-11-23 14:00:42', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:04:27', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:05:56', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:08:28', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:08:31', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:08:35', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:08:55', 'POST', 'OK']
['127.0.0.1:12000', '2019-11-23 14:09:27', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:09:42', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:09:49', 'QUIT', 'OK']
['127.0.0.1:12000', '2019-11-23 14:33:24', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:33:24', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:33:40', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:33:40', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:35:17', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:35:21', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:35:24', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:35:51', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:37:13', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:37:25', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:37:30', 'GET_MESSAGES', 'Error']
['127.0.0.1:12000', '2019-11-23 14:37:33', 'GET_MESSAGES', 'Error']
['127.0.0.1:12000', '2019-11-23 14:37:49', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:38:03', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:38:09', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:38:21', 'POST', 'OK']
['127.0.0.1:12000', '2019-11-23 14:38:46', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:38:52', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:39:50', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:39:52', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:39:56', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:40:55', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:40:58', 'QUIT', 'OK']
['127.0.0.1:12000', '2019-11-23 14:40:58', 'UNRECOGNISED', 'Error']
['127.0.0.1:12000', '2019-11-23 14:59:54', 'GET_BOARDS', 'OK']
['127.0.0.1:12000', '2019-11-23 14:59:57', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:59:59', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 14:59:59', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 15:00:00', 'GET_MESSAGES', 'OK']
['127.0.0.1:12000', '2019-11-23 15:00:06', 'POST', 'OK']
['127.0.0.1:12000', '2019-11-23 15:00:23', 'QUIT', 'OK']
